MEMBER_ID,SUBDOMAIN_ID,VALID_FROM,VALID_TO,ORDER
RFRNC_RT_45,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_24,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_23,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_30,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_37,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_58,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_56,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_39,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_51,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_94,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_93,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_101,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_106,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_108,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
FRQNCY_8,FRQNCY_PYMNT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_115,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_112,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_133,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_134,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_152,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_141,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_146,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_129,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_127,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_148,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_120,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_103,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_104,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
FRQNCY_1,FRQNCY_PYMNT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_117,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_110,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_119,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_138,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_150,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_131,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_136,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_125,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_122,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_143,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_144,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_105,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_102,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_118,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_111,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_116,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_137,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_130,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_151,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_139,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_145,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_142,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
RFRNC_RT_123,RFRNC_RT_ANCRDT_CLLCTN,1900-01-01,9999-12-31,0
